category,description,full_price,name_of_item,number_of_reviews,rating,sale_price,type_color_available,url
new arrival,gamma pants - women's,200.0,arc'teryx,5,4.0,,"black, black sapphire",https://www.rei.com/product/228324/arcteryx-gamma-pants-womens
new arrival,endorphin speed 4 road-running shoes - men's,170.0,saucony,29,4.1,,,https://www.rei.com/product/228952/saucony-endorphin-speed-4-road-running-shoes-mens
top rated,cormac hoodie - men's,90.0,arc'teryx,62,4.5,,"black heather, black sapphire heather, daybreak heather, edziza heather, expand color swatches",https://www.rei.com/product/218812/arcteryx-cormac-hoodie-mens
new arrival,"lowrider aero tandem inflatable hybrid paddle board with paddles - 11'6""",899.0,bote,,,,,https://www.rei.com/product/233407/bote-lowrider-aero-tandem-inflatable-hybrid-paddle-board-with-paddles-116
top rated,atom insulated vest - men's,200.0,arc'teryx,21,4.5,140.83,"black, black sapphire, edziza, smoke bluff, expand color swatches",https://www.rei.com/product/222636/arcteryx-atom-insulated-vest-mens
new arrival,ridgeway mesh low shoes - men's,119.95,xero shoes,,,,,https://www.rei.com/product/230639/xero-shoes-ridgeway-mesh-low-shoes-mens
new arrival,r1 pullover - men's,139.0,patagonia,169,4.4,96.93,"nouveau green, black, obsidian plum, endless blue, expand color swatches",https://www.rei.com/product/143467/patagonia-r1-pullover-mens
top rated,capilene cool daily graphic hoodie - men's,75.0,patagonia,29,4.6,69.0,"boardshort logo/utility blue, water people gator/gold, fitz roy tarpon/feather grey, line logo ridge stripe/mauve, 73 skyline/chilled blue, expand color swatches",https://www.rei.com/product/200876/patagonia-capilene-cool-daily-graphic-hoodie-mens
new arrival,solimar road-running shoes - men's,125.0,hoka,316,4.2,,"white/white, black/white, limestone/black",https://www.rei.com/product/201776/hoka-solimar-road-running-shoes-mens
new arrival,mogami terra sandals - men's,99.95,birkenstock,12,4.0,,"black, elemental blue, eucalyptus, burnt orange, whale grey, expand color swatches",https://www.rei.com/product/229578/birkenstock-mogami-terra-sandals-mens
top rated,moab speed 2 low waterproof hiking shoes - kids',62.0,merrell,11,4.7,,"black, coyote, turq/coral",https://www.rei.com/product/229336/merrell-moab-speed-2-low-waterproof-hiking-shoes-kids
top rated,lowlands blanket,200.0,yeti,274,4.8,,"kco, red, blue",https://www.rei.com/product/163170/yeti-lowlands-blanket
top rated,cairn evo sandals,115.0,bedrock sandals,6,4.5,,"black, charcoal, block landscape, clay, river mosaic, expand color swatches",https://www.rei.com/product/231062/bedrock-sandals-cairn-evo-sandals
new arrival,hopara 2 sandals - women's,135.0,hoka,11,4.2,,"illusion/amethyst, cream/cedar",https://www.rei.com/product/229461/hoka-hopara-2-sandals-womens
new arrival,spark 15f down sleeping bag,999.0,sea to summit,,,549.0,,https://www.rei.com/product/231207/sea-to-summit-spark-15f-down-sleeping-bag
new arrival,cloudrunner road-running shoes - men's,150.0,on,116,3.9,,"glacier/black, metal/midnight, eclipse/frost, shale/cobalt, expand color swatches",https://www.rei.com/product/203913/on-cloudrunner-road-running-shoes-mens
new arrival,solimar road-running shoes - women's,125.0,hoka,567,4.3,,"white/white, black/white, nimbus cloud/shortbread, vanilla/sandstone, expand color swatches",https://www.rei.com/product/201767/hoka-solimar-road-running-shoes-womens
new arrival,ella iii sandals - women's,85.0,sorel,,,,"ash brown/gum, black/black, velvet tan/gum",https://www.rei.com/product/229405/sorel-ella-iii-sandals-womens
top rated,"active pursuits 4.5"" shorts - women's",39.95,rei co-op,125,4.6,,"black, magenta crest, saragasso sea, cloud cover crater teal, fluid flow fresh peri, expand color swatches",https://www.rei.com/product/202453/rei-co-op-active-pursuits-45-shorts-womens
top rated,momentum harness - women's,64.95,black diamond,89,4.7,,"desert sage, baja sunrise",https://www.rei.com/product/162873/black-diamond-momentum-harness-womens
new arrival,pro mechanic repair stand - 20th anniversary edition,450.0,feedback sports,,,,,https://www.rei.com/product/234523/feedback-sports-pro-mechanic-repair-stand-20th-anniversary-edition
new arrival,skyline ul chair,149.95,big agnes,,,,,https://www.rei.com/product/231932/big-agnes-skyline-ul-chair
top rated,coolnet uv+ insect shield multifunctional neckwear,30.0,buff,119,4.6,22.0,"bihar multi, b-magik grey, solid orchid, vere frog, laertes stone blue, solid forest, solid jungle, lazs grey, eclipse blue, expand color swatches",https://www.rei.com/product/146018/buff-coolnet-uv-insect-shield-multifunctional-neckwear
new arrival,flexlite air stool,59.95,rei co-op,,,,,https://www.rei.com/product/217602/rei-co-op-flexlite-air-stool
top rated,"swiftland 7"" running shorts - men's",59.95,rei co-op,135,4.5,,"black, wild river cosmic magenta, crater teal, blue nights, expand color swatches",https://www.rei.com/product/202646/rei-co-op-swiftland-7-running-shorts-mens
new arrival,talkabout t803 2-way radios - pair,149.0,motorola,,,,,https://www.rei.com/product/240874/motorola-talkabout-t803-2-way-radios-pair
new arrival,beta jacket - women's,400.0,arc'teryx,5,3.4,,,https://www.rei.com/product/240589/arcteryx-beta-jacket-womens
top rated,roadtrip rocker chair,80.0,gci outdoor,117,4.5,,"stealth camo, hunter green",https://www.rei.com/product/162298/gci-outdoor-roadtrip-rocker-chair
new arrival,s/lab ultra 10 hydration vest,200.0,salomon,11,4.0,,,https://www.rei.com/product/230702/salomon-slab-ultra-10-hydration-vest
new arrival,arizona rugged sandals - men's,145.0,birkenstock,16,3.7,,"black, elemental blue, faded khaki",https://www.rei.com/product/184299/birkenstock-arizona-rugged-sandals-mens
new arrival,moab adventure 3 moc shoes - men's,110.0,merrell,19,4.1,,,https://www.rei.com/product/229925/merrell-moab-adventure-3-moc-shoes-mens
new arrival,anacapa breeze low hiking shoes - men's,155.0,hoka,69,4.2,,"black/black, goblin blue/outer space, barley/oat milk",https://www.rei.com/product/208580/hoka-anacapa-breeze-low-hiking-shoes-mens
top rated,mountain series hiker medical kit,29.95,adventure medical kits,68,4.6,,"forest, sunset, blue",https://www.rei.com/product/113006/adventure-medical-kits-mountain-series-hiker-medical-kit
new arrival,sitta harness,174.95,petzl,2,5.0,,,https://www.rei.com/product/232862/petzl-sitta-harness
new arrival,003 trail-approach shoes - men's,295.0,norda,,,,"pitch black, cinder",https://www.rei.com/product/238934/norda-003-trail-approach-shoes-mens
new arrival,hopara 2 sandals - men's,135.0,hoka,16,3.2,,"black/black, barley/oat milk, shifting sand/dune",https://www.rei.com/product/229463/hoka-hopara-2-sandals-mens
new arrival,cloud 5 coast shoes - men's,150.0,on,6,3.8,,,https://www.rei.com/product/216408/on-cloud-5-coast-shoes-mens
top rated,heritage 2.0 bike helmet,99.0,thousand,8,4.8,,"crater lake, navy, vibrant orchid, stealth black, speedway creme, so silver, willowbrook mint, british racing green, desert sunset, expand color swatches",https://www.rei.com/product/216213/thousand-heritage-20-bike-helmet
