category,description,full_price,name_of_item,number_of_reviews,rating,sale_price,type_color_available,url
New arrival,Gamma Pants - Women's,$200.00,Arc'teryx,5,4.0,,"Black, Black sapphire",/product/228324/arcteryx-gamma-pants-womens
New arrival,Endorphin Speed 4 Road-Running Shoes - Men's,$170.00,Saucony,29,4.1,,,/product/228952/saucony-endorphin-speed-4-road-running-shoes-mens
Top Rated,Cormac Hoodie - Men's,$90.00,Arc'teryx,62,4.5,,"Black heather, Black sapphire heather, Daybreak heather, Edziza heather, Expand color swatches",/product/218812/arcteryx-cormac-hoodie-mens
New arrival,"LowRider Aero Tandem Inflatable Hybrid Paddle Board with Paddles - 11'6""",$899.00,BOTE,,,,,/product/233407/bote-lowrider-aero-tandem-inflatable-hybrid-paddle-board-with-paddles-116
Top Rated,Atom Insulated Vest - Men's,$200.00,Arc'teryx,21,4.5, $140.83,"Black, Black sapphire, Edziza, Smoke bluff, Expand color swatches",/product/222636/arcteryx-atom-insulated-vest-mens
New arrival,Ridgeway Mesh Low Shoes - Men's,$119.95,Xero Shoes,,,,,/product/230639/xero-shoes-ridgeway-mesh-low-shoes-mens
New arrival,R1 Pullover - Men's,$139.00,Patagonia,169,4.4, $96.93,"Nouveau green, Black, Obsidian plum, Endless blue, Expand color swatches",/product/143467/patagonia-r1-pullover-mens
Top Rated,Capilene Cool Daily Graphic Hoodie - Men's,$75.00,Patagonia,29,4.6,$69.00,"Boardshort logo/utility blue, Water people gator/gold, Fitz roy tarpon/feather grey, Line logo ridge stripe/mauve, 73 skyline/chilled blue, Expand color swatches",/product/200876/patagonia-capilene-cool-daily-graphic-hoodie-mens
New arrival,Solimar Road-Running Shoes - Men's,$125.00,HOKA,316,4.2,,"White/white, Black/white, Limestone/black",/product/201776/hoka-solimar-road-running-shoes-mens
New arrival,Mogami Terra Sandals - Men's,$99.95,Birkenstock,12,4.0,,"Black, Elemental blue, Eucalyptus, Burnt orange, Whale grey, Expand color swatches",/product/229578/birkenstock-mogami-terra-sandals-mens
Top Rated,Moab Speed 2 Low Waterproof Hiking Shoes - Kids',$62.00,Merrell,11,4.7,,"Black, Coyote, Turq/coral",/product/229336/merrell-moab-speed-2-low-waterproof-hiking-shoes-kids
Top Rated,Lowlands Blanket,$200.00,YETI,279,4.8,,"Kco, Red, Blue",/product/163170/yeti-lowlands-blanket
Top Rated,Cairn Evo Sandals,$115.00,Bedrock Sandals,6,4.5,,"Black, Charcoal, Block landscape, Clay, River mosaic, Expand color swatches",/product/231062/bedrock-sandals-cairn-evo-sandals
New arrival,Hopara 2 Sandals - Women's,$135.00,HOKA,11,4.2,,"Illusion/amethyst, Cream/cedar",/product/229461/hoka-hopara-2-sandals-womens
New arrival,Spark 15F Down Sleeping Bag,$999.00,Sea to Summit,,,$549.00,,/product/231207/sea-to-summit-spark-15f-down-sleeping-bag
New arrival,Cloudrunner Road-Running Shoes - Men's,$150.00,On,116,3.9,,"Glacier/black, Metal/midnight, Eclipse/frost, Shale/cobalt, Expand color swatches",/product/203913/on-cloudrunner-road-running-shoes-mens
New arrival,Solimar Road-Running Shoes - Women's,$125.00,HOKA,577,4.3,,"White/white, Black/white, Nimbus cloud/shortbread, Vanilla/sandstone, Expand color swatches",/product/201767/hoka-solimar-road-running-shoes-womens
New arrival,Ella III Sandals - Women's,$85.00,Sorel,,,,"Ash brown/gum, Black/black, Velvet tan/gum",/product/229405/sorel-ella-iii-sandals-womens
Top Rated,"Active Pursuits 4.5"" Shorts - Women's",$39.95,REI Co-op,125,4.6,,"Black, Magenta crest, Saragasso sea, Cloud cover crater teal, Fluid flow fresh peri, Expand color swatches",/product/202453/rei-co-op-active-pursuits-45-shorts-womens
Top Rated,Momentum Harness - Women's,$64.95,Black Diamond,89,4.7,,"Desert sage, Baja sunrise",/product/162873/black-diamond-momentum-harness-womens
New arrival,Pro Mechanic Repair Stand - 20th Anniversary Edition,$450.00,Feedback Sports,,,,,/product/234523/feedback-sports-pro-mechanic-repair-stand-20th-anniversary-edition
New arrival,Skyline UL Chair,$149.95,Big Agnes,,,,,/product/231932/big-agnes-skyline-ul-chair
Top Rated,CoolNet UV+ Insect Shield Multifunctional Neckwear,$30.00,Buff,119,4.6,$22.00,"Bihar multi, B-magik grey, Solid orchid, Vere frog, Laertes stone blue, Solid forest, Solid jungle, Lazs grey, Eclipse blue, Expand color swatches",/product/146018/buff-coolnet-uv-insect-shield-multifunctional-neckwear
New arrival,Flexlite Air Stool,$59.95,REI Co-op,,,,,/product/217602/rei-co-op-flexlite-air-stool
Top Rated,"Swiftland 7"" Running Shorts - Men's",$59.95,REI Co-op,135,4.5,,"Black, Wild river cosmic magenta, Crater teal, Blue nights, Expand color swatches",/product/202646/rei-co-op-swiftland-7-running-shorts-mens
New arrival,Talkabout T803 2-Way Radios - Pair,$149.00,Motorola,,,,,/product/240874/motorola-talkabout-t803-2-way-radios-pair
New arrival,Beta Jacket - Women's,$400.00,Arc'teryx,5,3.4,,,/product/240589/arcteryx-beta-jacket-womens
Top Rated,RoadTrip Rocker Chair,$80.00,GCI Outdoor,117,4.5,,"Stealth camo, Hunter green",/product/162298/gci-outdoor-roadtrip-rocker-chair
New arrival,S/Lab Ultra 10 Hydration Vest,$200.00,Salomon,11,4.0,,,/product/230702/salomon-slab-ultra-10-hydration-vest
New arrival,Arizona Rugged Sandals - Men's,$145.00,Birkenstock,16,3.7,,"Black, Elemental blue, Faded khaki",/product/184299/birkenstock-arizona-rugged-sandals-mens
New arrival,Moab Adventure 3 Moc Shoes - Men's,$110.00,Merrell,19,4.1,,,/product/229925/merrell-moab-adventure-3-moc-shoes-mens
New arrival,Anacapa Breeze Low Hiking Shoes - Men's,$155.00,HOKA,70,4.2,,"Black/black, Goblin blue/outer space, Barley/oat milk",/product/208580/hoka-anacapa-breeze-low-hiking-shoes-mens
Top Rated,Mountain Series Hiker Medical Kit,$29.95,Adventure Medical Kits,68,4.6,,"Forest, Sunset, Blue",/product/113006/adventure-medical-kits-mountain-series-hiker-medical-kit
New arrival,Sitta Harness,$174.95,Petzl,2,5.0,,,/product/232862/petzl-sitta-harness
New arrival,003 Trail-Approach Shoes - Men's,$295.00,norda,,,,"Pitch black, Cinder",/product/238934/norda-003-trail-approach-shoes-mens
New arrival,Hopara 2 Sandals - Men's,$135.00,HOKA,16,3.2,,"Black/black, Barley/oat milk, Shifting sand/dune",/product/229463/hoka-hopara-2-sandals-mens
New arrival,Cloud 5 Coast Shoes - Men's,$150.00,On,6,3.8,,,/product/216408/on-cloud-5-coast-shoes-mens
Top Rated,Heritage 2.0 Bike Helmet,$99.00,Thousand,8,4.8,,"Crater lake, Navy, Vibrant orchid, Stealth black, Speedway creme, So silver, Willowbrook mint, British racing green, Desert sunset, Expand color swatches",/product/216213/thousand-heritage-20-bike-helmet
Top Rated,Long-Sleeve Capilene Cool Daily Graphic Shirt - Women's,$65.00,Patagonia,10,5.0,,"Boardshort logo/grey/white, Channel islands/subtidal blue, Fitz roy trout/feather grey, Fitz roy tarpon/wispy green, Expand color swatches",/product/216951/patagonia-long-sleeve-capilene-cool-daily-graphic-shirt-womens
Top Rated,Endorphin Speed 4 Road-Running Shoes - Women's,$170.00,Saucony,15,4.5,,,/product/228819/saucony-endorphin-speed-4-road-running-shoes-womens
New arrival,"Generator V-Tech Stand Up Paddle Board - 11'6""","$1,360.00",Surftech,1,5.0,,,/product/220536/surftech-generator-v-tech-stand-up-paddle-board-116
New arrival,Swoosh Medium Support Bra,$40.00,Nike,65,4.4,,"White/stone mauve/black, Black/white, Smokey mauve/white, Light armory blue/white, Expand color swatches",/product/224329/nike-swoosh-medium-support-bra
New arrival,945RD-2401 Mini Osborne Knife - SHOT Limited Edition,$270.00,Benchmade,,,,,/product/239299/benchmade-945rd-2401-mini-osborne-knife-shot-limited-edition
New arrival,Ace Button-Down Shirt- Men's,$84.00,Vuori,1,5.0,,"Cashew, Charcoal, Light grey",/product/228072/vuori-ace-button-down-shirt-mens
Top Rated,Rope Sling Bag - Special Edition,$60.00,KAVU,108,4.6, $41.93,"Succulents, Side step, Forest folklore, Raven, Expand color swatches",/product/147942/kavu-rope-sling-bag-special-edition
New arrival,Vintage Ripstop Utility Shorts - Women's,$74.00,Vuori,,,,"Army, Charcoal, Milkweed, Soft pewter, Expand color swatches",/product/227775/vuori-vintage-ripstop-utility-shorts-womens
Top Rated,"Rolling Sun 7"" Packable Shorts - Men's",$65.00,The North Face,132,4.7,,"Steel blue, Khaki stone, Stone brown, Tnf black, Shady blue, Yellow silt, Expand color swatches",/product/203255/the-north-face-rolling-sun-7-packable-shorts-mens
New arrival,Big EZ Air Stowaway Lite Stand Up Inflatable Paddle Board with Paddle - 11',$599.00,Pau Hana,,,,,/product/233146/pau-hana-big-ez-air-stowaway-lite-stand-up-inflatable-paddle-board-with-paddle-11
New arrival,UltraRange NEO VR3 Shoes - Men's,$125.00,Vans,,,,"Black/white, Light green/black, True white",/product/228054/vans-ultrarange-neo-vr3-shoes-mens
Top Rated,Wide-Mouth Vacuum Water Bottle - 32 fl. oz.,$51.95,Hydro Flask,1446,4.6,$49.95,"Black, White, Treefort, Tanglewood, Wildside, Expand color swatches",/product/168732/hydro-flask-wide-mouth-vacuum-water-bottle-32-fl-oz
New arrival,Biker Cham Cycling Shorts - Women's,$98.00,SHREDLY,8,3.5,,"Noir, Stardust shimmer",/product/228085/shredly-biker-cham-cycling-shorts-womens
Top Rated,Panga 75 Dry Duffel,$350.00,YETI,329,4.8,,"Tan, Storm gray, Orange/black",/product/124134/yeti-panga-75-dry-duffel
Top Rated,Moab Adventure 3 Waterproof Shoes - Men's,$130.00,Merrell,15,4.5,,,/product/230831/merrell-moab-adventure-3-waterproof-shoes-mens
Top Rated,Long-Sleeve Capilene Cool Daily Graphic Shirt - Men's,$65.00,Patagonia,11,5.0,,"Boardshort logo/white, Fitz roy trout/pumice x-dye, Fitz roy tarpon/wispy green",/product/216809/patagonia-long-sleeve-capilene-cool-daily-graphic-shirt-mens
New arrival,"Quandary 8"" Shorts - Men's",$85.00,Patagonia,1,5.0,,"Forge grey, Buckhorn green, Classic tan, Tree ring brown, Expand color swatches",/product/228396/patagonia-quandary-8-shorts-mens
New arrival,Uluwatu 24 Water Hoodie - Men's,$78.00,Vuori,,,,"Platinum heather, Charcoal heather",/product/228480/vuori-uluwatu-24-water-hoodie-mens
Top Rated,Baby Sun Bucket Hat - Infants'/Toddlers',$35.00,Patagonia,11,5.0,,"Lagom blue/drew and lobby, Amigos vessel blue, Little isla/milled yellow",/product/126693/patagonia-baby-sun-bucket-hat-infantstoddlers
New arrival,Breeze Cross Ace-Tec Stand Up Paddle Board - 11',$999.95,TAHE,,,,,/product/232997/tahe-breeze-cross-ace-tec-stand-up-paddle-board-11
New arrival,Outpost Hammock Stand,$499.95,Kammok,14,4.2,,,/product/234178/kammok-outpost-hammock-stand
New arrival,Long-Sleeve Capilene Silkweight Shirt - Kids',$45.00,Patagonia,,,,"Water people gator, Ridge rise/moonlight peaceful, P-5 outline vessel blue, Boardshort logo wispy green, Alpine icon white, Expand color swatches",/product/216736/patagonia-long-sleeve-capilene-silkweight-shirt-kids
Top Rated,"Swiftland 5"" Running Shorts - Men's",$59.95,REI Co-op,105,4.6, $29.83,"Black, Sunrise saragasso sea, Crater teal, Blue nights, Solar red, Expand color swatches",/product/202645/rei-co-op-swiftland-5-running-shorts-mens
Top Rated,St. Barth Reversible Swimsuit Bottoms - Women's,$58.00,Carve Designs,46,4.5,,"Penny/black, Azul/ice, Black/navy, Tropical/cilantro, Expand color swatches",/product/147579/carve-designs-st-barth-reversible-swimsuit-bottoms-womens
New arrival,Mandala Climbing Shoes,$209.00,La Sportiva,,,,,/product/229743/la-sportiva-mandala-climbing-shoes
New arrival,Velosamba Leather Cycling Shoes,$150.00,adidas,5,4.2,,"White, Legend ink",/product/228061/adidas-velosamba-leather-cycling-shoes
Top Rated,All Day One-Piece Swimsuit - Women's,$110.00,Carve Designs,8,4.8,,"Tropical, Azul/ice",/product/216595/carve-designs-all-day-one-piece-swimsuit-womens
New arrival,Corax Harness,$79.95,Petzl,1,5.0,,"Dark gray, Navy blue, Dark red",/product/232859/petzl-corax-harness
New arrival,Mesa Trail II Shoes - Men's,$120.00,Xero Shoes,1,5.0,,,/product/230337/xero-shoes-mesa-trail-ii-shoes-mens
New arrival,HighSpeed Bike Rack,$289.00,Yakima,,,,,/product/233398/yakima-highspeed-bike-rack
New arrival,Premonition UL Jacket - Men's,$430.00,Mountain Hardwear,1,5.0,,"Blue slate, State orange",/product/229943/mountain-hardwear-premonition-ul-jacket-mens
New arrival,Active Pursuits Sports Bra,$49.95,REI Co-op,38,3.8,,"Black, Magenta crest, Saragasso sea, Cloud cover crater teal, Fluid flow fresh peri, Expand color swatches",/product/216376/rei-co-op-active-pursuits-sports-bra
New arrival,"Clipper 126W Inflatable Stand Up Paddle Board - 12'6""",$995.00,NRS,,,,,/product/232934/nrs-clipper-126w-inflatable-stand-up-paddle-board-126
Top Rated,Cormac Downword T-Shirt - Men's,$70.00,Arc'teryx,8,4.5,,"Black heather, Atmos heather, Dark blue tetra heather, Arctic silk heather, Expand color swatches",/product/218814/arcteryx-cormac-downword-t-shirt-mens
New arrival,Splash 15 Pack,$39.95,Exped,32,4.5,,"Burgundy, Navy, Moraine, Cyan, Cypress, Gold, Sage, Expand color swatches",/product/202678/exped-splash-15-pack
New arrival,Bird Curved Trucker Hat,$55.00,Arc'teryx,9,3.8,,,/product/228150/arcteryx-bird-curved-trucker-hat
Top Rated,Pro Cooler - 23 Liters,$134.95,IceMule,299,4.8,,"Realtree wav3, Gray",/product/896375/icemule-pro-cooler-23-liters
